H19
Pmp22
Gpx3
Mapt
Myo1b
Slc13a3
Sparc
Ikzf1
Cpsf4l
Tnfsfm13
Abca5
Ccl6
Cacng2
Lhx9
Etnppl
Dpep1
Esr1
Vip
Rgs17
Frk
Trdn
Plagl1
Grm1
Slc16a10
Lama4
Fabp7
Pkib
Rspo3
Mgat4c
Lrriq1
Slc6a15
Lama2
Lin7a
Sim1
Dcn
Kera
Slc17a8
Epyc
Cdk1
Cabcoco1
Kitl
Enpp3
Pde7b
Moxd1
Il20ra
Cfap54
Ntn4
Nuak1
Btbd11
Timp3
Hsp90b1
Igf1
Mybpc1
Hkdc1
Unc5b
Slc16a7
Plek
Srgap1
Lgr5
Dock2
Ptprr
Ptprb
Meis1
Cobl
Grb10
Nav3
Ddc
Cpm
E2f7
Wif1
Col6a2
Slc36a2
Stk10
Hbq1a
Nsg2
Hmmr
Slc22a4
Sgcd
Canx
Rasgef1c
Itk
Igfbp3
Gabra6
Adcy1
Osbp2
Smtn
Efemp1
Aebp1
Btnl10
Prr11
Gria1
Myocd
Pik3cg
Rgs9
Fam20a
Abca8b
Klhl29
Rsad2
Slc26a4
Efr3b
Sntg2
Asic2
Adap2
Gh
Pecam1
Cacng4
Rab37
Aspa
Atp2a3
Slc13a5
Nos2
Vmo1
Slc6a4
Rph3al
Abcc3
Ntn1
Cfap52
Top2a
Adam11
Coch
Tshr
Cdkl1
Esr2
Rab15
Nin
Trim9
Ccdc175
Lrrc9
Gsc
Prkch
Efcab11
Lgmn
Unc79
Tshz3
Rgs6
Esrrb
Meg3
Hecw1
Ryr2
Gli3
Sfrp4
Aoah
Gpld1
Prl
Mak
Cap2
Aspn
Ogn
Cenpp
Ly86
Shc3
Syk
Ror2
Cxcl14
Trpc7
Slc28a3
Mctp1
Vcan
Cd180
Naip1
Iqgap2
Pde8b
Depdc1b
Rab3c
Rasgrf2
Cenpk
Rgs7bp
Hcn1
Fgf10
Cfap20dc
Ldb3
Cdhr1
Nid2
Samd4
Otx2
Rnase4
Arhgef3
Ctsb
Ptpn20
Fgf9
Atp8a2
Cacna2d3
Wnt5a
Lcp1
Enox1
Epsti1
Diaph3
Cnmd
Olfm4
Scara5
Esco2
Ebf2
Nefm
Pebp4
Gfra2
Itm2b
Gpc5
Ednrb
Scel
Dct
Fyb
Dab2
Slc7a8
Pdzd2
Npr3
Cma1
Sema5a
Ctnnd2
Slc45a2
Skor1
Sdc2
Dnah5
Marchf11
Zfpm2
Angpt1
Csmd3
Cdh10
Shcbp1
Matn2
Sybu
Atad2
Slc22a22
Has2
Col14a1
Sla
Lrrc6
Adcy8
Deptor
Enpp2
Efcab6
Adamts20
Nell2
Septin3
Slc38a4
Vdr
Col2a1
Nckap1l
Ppp1r1a
Shisa9
Trp63
Fgf12
Apod
Plec
Ly6c2
Arc
Alcam
Gcsam
Cd200r1
Sidt1
Cmss1
Tmem45a
Ncam2
Spag6l
Arhgap31
Cfap91
Fstl1
Itgb5
Hgd
Stxbp5l
Mylk
Adcy5
Chodl
Dgkg
Samsn1
Adamts1
Adamts5
Cd86
Stfa2
Grik1
Clic6
Runx1
Krt75
Scn8a
Gzma
Epb42
Mx2
Gnb3
Nox3
Slc22a3
Pde10a
Thbs2
Smoc2
Pla2g7
Tnfrsf21
Rhag
Efhb
Hsp90ab1
Slc5a7
Clic5
Enpp5
Kif6
Arhgap28
Emilin2
Ndc80
Lbh
Galnt14
Ehd3
Xdh
Vit
Lhcgr
Nrxn1
Epas1
Tpsab1
Grm8
Fkbp5
Pdzph1
Svil
Zeb1
Tmem178
Syt4
Celf4
Adamts10
Myo1f
Dtna
Ccdc178
Col11a2
Lama3
Arap3
Myot
Lvrn
Dpysl3
Jakmip2
Rab27b
Sncaip
Slc14a2
Mapk4
Sall3
Slc12a2
Fbn2
Cd74
Pdgfrb
Csf1r
Cndp2
Slc22a6
Gm9750
Anxa1
Ms4a7
Ms4a6b
Ms4a6d
Pcsk5
Slc15a3
Syt7
Aldh1a7
Tmc1
Stambpl1
Kif20b
Htr7
Mlana
Il33
Cabp2
Pip5k1b
Pcx
Apba1
Papss2
Tectb
Cep55
Pde6c
Hells
Tll2
Dntt
Slit1
Efhc2
Msr1
Slk
Afap1l2
Ablim1
Gfra1
Hspa12a
Fasn
Arhgap19
Scd2
Zfhx4
4933436I01Rik
Itgb8
Atp10a
Padi1
Gpr143
Pmel
Cdh9
Aatk
Bsnd
Katnal2
Rnf165
Pstpip2
Scart1
Adgra1
Fgf14
Slc15a1
Rbfox3
Pde8a
Cpeb1
Dach2
Klhl4
Myo3a
Agbl1
Crispld1
Itih5
Ccr1
Nrp1
Pdia4
Hk3
Snca
Gria4
Sox17
Sntg1
Tfap2b
Slco5a1
Pth2r
Adam23
Slc40a1
Ica1l
Cdk15
Sgo2a
Col5a2
Col3a1
Ecrg4
Khdrbs2
Il18rap
Il1rl1
Il18r1
Il1r1
Npas2
Tmeff2
Col19a1
Col9a1
Sphkap
Igfbp5
Fn1
Bard1
Sp100
Itm2c
Ecel1
Serpine2
Chrng
Pdcd1
Inpp5d
Iqca
Mlph
Cdh7
Serpinb8
Tnfrsf11a
Htr4
Pam
Ccdc93
Gpr39
Tmem163
Rgs18
Rgs1
Cfh
Steap3
Ptprc
Nr5a2
Pkp1
Nfasc
Lrrn2
Syt2
Ppfia4
Atp2b4
Glul
Niban1
Kif26b
Cnih3
Rgs7
Spta1
Ifi211
Cfap45
Dusp27
Tbx19
Sell
Prrx1
Astn1
Cenpf
Ush2a
Esrrg
Spata17
Nek2
Lpgat1
Plxna2
Fam107b
Fcgr2b
Ucma
Ddr2
Hsd17b7
Ccdc3
Rgs5
Nuf2
Lmx1a
Mrc1
Tnn
Pip4k2a
Lypd6b
Itga8
Pfkfb3
Prkcq
Mastl
Apbb1ip
Gad2
Barhl1
Ak8
Lcn2
Kcnj3
Cytip
Acvr1c
Col5a1
Lamc3
Hspa5
Kynu
Zeb2
Gsn
Slc4a10
Egfl7
Fcna
Pax8
Ly75
Itga4
Cybrd1
Zfp385b
Xirp2
Lrp2
P2rx3
Itga6
Kif18a
Pax6
Gatm
Sema6d
Fbn1
Fgf7
Tspan18
Syt13
Chst1
Creb3l1
Frmd5
Pdia3
Lrp4
Snap25
Jag1
Ehd4
Nusap1
Adam33
Siglec1
Rad51
Knl1
Knstrn
Rassf2
Fsip1
Hdc
Mal
Bub1
Otor
Pcsk2
Tpx2
Ccm2l
Bpifa1
Stmn2
Edn3
Phactr3
Fabp12
Car1
Car3
Dok5
Col9a3
Acss2
Dnajc5b
Mmp24
Fam83d
Ccdc39
Mecom
Pld1
Ect2
Trpc3
Slc7a11
Trpc4
Postn
Schip1
Otol1
Dclk1
Mme
Kcnab1
Shox2
Serpini1
Wnt2b
Ptpn22
Syt6
Ngf
Spag17
Tbx15
Hmgcs2
Il6ra
Gask1b
Vcam1
Olfm3
Ndst4
Ndst3
Prss12
Lef1
Gucy1b1
Pdgfc
Glrb
Enpep
Dkk2
Kcnq5
Iqgap3
Sh2d2a
Sh3d19
Abca4
Tspan5
Tacr3
Depdc1a
Lrrc7
Col24a1
Trp53inp1
Calb1
Sdr16c5
Atp6v0d2
Clca3a2
Epha7
Cfap206
Smc2
Toporsl
Coro2a
Col15a1
Nr4a3
Brinp1
Fmn2
Slc44a5
Tnc
Svep1
Pappa
Astn2
Spaar
Bnc2
Dab1
Dynlt5
Sgip1
Dnajc6
Elavl4
Laptm5
Cfap107
Lrp8
Col9a2
Ccdc30
Ermap
Rnf220
Kif2c
Stil
Hspg2
Alpl
Sema3c
Hpca
Csmd2
Tekt2
Hgf
Cdca8
Sema3a
Cdk14
Espn
Prkag2
Casz1
Morn1
Gabrd
Plch2
Bst1
Cd38
Prom1
Kcnip4
D5Ertd615e
Ablim2
Pcdh7
Ppp2r2c
Crmp1
Stk32b
Ppargc1a
Cenpa
Rhoh
Gabra4
Gabrb1
Tec
Pdgfra
Epha5
Sult1e1
Sult1d1
Gfi1
Abcg3
Spp1
Ibsp
Dmp1
Sparcl1
Plac8
Prkg2
Bmp3
Antxr2
Nos1
Pf4
Kntc1
Rimbp2
Wdr66
P2rx7
Cit
Oasl2
Foxp2
Actb
Rph3a
Ocm
Cdk8
Flt1
Mtus2
Wdr95
Col1a2
Wnt16
Eln
Aass
Nobox
Dync1i1
Cald1
Cep41
Herc6
Abcg2
Gpnmb
Npy
Osbpl3
Svopl
Ptn
Slc13a4
Epha1
Kel
Hpgds
Tbxas1
Anxa4
Add2
Prickle2
Adamts9
M1ap
Tacr1
Arhgap25
Gm20696
Gxylt2
Cntn3
Chl1
Slc41a3
Cntn6
Grip2
Slc6a13
Slc6a12
Ret
A2m
Rasgef1a
Klrk1
Klrb1f
Klrc1
Adipor2
Wnt5b
Klra5
Klra2
Grin2b
Plbd1
Mgp
Rerg
Ptpro
Dera
Lmo3
Slco1c1
Slco1b2
Slco1a4
Kcnj8
Abcc9
Rad18
Rassf8
Irag2
Bcat1
Ttll3
St8sia1
Atp2b2
Tmtc1
Slc6a11
Slc6a1
Klrb1c
Prmt8
Tspan11
Ceacam12
Slc8a2
Oca2
Siglecg
Slc7a10
Slc17a6
Pcsk6
Tjp1
Entrep2
Apba2
Trpm1
Rab38
Ctsc
Nox4
Tyrobp
Acan
Sytl2
Sh3gl3
Anapc15
Xylt1
Pde3b
Kif22
Cd19
Pgm2l1
Slco2b1
Il21r
Myo7a
Slc5a11
Dkk3
Itgam
Lyve1
Itgax
Rgs10
Ptpn5
Cpxm2
Ern2
Vwa3a
Crym
Trim30a
Chst15
D7Ertd443e
Art1
Mki67
Stk33
Ano1
Dock11
Elf4
Stk26
Gpc4
Slc9a9
Fgf13
Slc38a5
Aff2
Stard8
Tbx22
Tnmd
Btk
Col4a6
Chrdl1
Dcx
Adgrg2
Gabra3
Arhgap6
Atp2b3
Bmx
L1cam
Plp1
Tsc22d3
Rnf128
Grk1
Rasa3
Chrnb3
Cd209a
Col4a1
Col4a2
Vegfc
Dlc1
Ank1
Sfrp1
Adam18
Adam3
Slit2
Slc7a2
Hpgd
Ednra
Iqcm
Mfap3l
Adcy7
Nkd1
Cdh11
Slc10a7
Mylk3
Tbc1d9
Il34
Mt3
Cntnap4
Pllp
Drc7
Gse1
Crispld2
Cdh13
Hsd17b2
Cdh5
Ces2g
Car7
Smpd3
Bmper
Aplp2
Trpc6
Nectin1
Grik4
Ubash3b
Clmp
Barx2
Ets1
Kirrel3
Cryab
Dixdc1
Apoa5
Dscaml1
Il10ra
Robo4
Olfm2
Bmp5
Lipc
Itga11
Kif23
Drd2
Tmem266
Cyp11a1
Col12a1
Mlip
Rasgrf1
Tinag
Hcrtr2
Tpm1
Zic1
Car12
Dapk2
Tbx18
Clstn2
Nmnat3
Ngp
Kif9
Pth1r
Ltf
Stac
Arpp21
Ttc21a
Mobp
Hhatl
Cck
Ephb1
Slco2a1
Trf
Acpp
Cpne4
Bsn
Thsd7a
Marchf3
Oas2
Lmo2
Bmp8a
Gab3
Troap
Lama1
Loxhd1
Ank2
Prr5l
Ugt8a
Ccdc85a
Styk1
Sgpp2
Itgbl1
5730522E02Rik
Asic4
Cip2a
Afap1l1
Cfap95
Gas7
Triobp
Phldb2
Atp1a1
Mgll
Tmprss7
Tie1
Tpsg1
Mamdc2
S100b
AA467197
Trim45
Galnt9
Tnxb
Plppr5
Palmd
Snap91
Antxr1
Cysltr2
Prss35
Strc
Otud7a
Adgrb3
Myo6
Fa2h
Clec18a
Gabrb3
Vav3
Egr3
Fndc3c1
St18
Nrxn2
Clcnka
Dysf
Tpsb2
Ccp110
Gucy1a1
Zswim5
Trim36
Aspm
Jcad
Cdkl4
Gria2
Cd226
Fgd5
Galnt17
Fstl5
Atp2c2
Scn11a
Vav1
Tmem63c
Zbbx
Emid1
Polq
Fhod3
Tmem132d
Kif4
Tmem132c
Brip1
Plcg2
Smc4
Kcnh5
Neurl1b
Parp14
Myo15b
Scara3
Rasd2
Edil3
Exph5
Slc41a2
Myo5a
Chst11
Ly6d
Lrrn1
Cacna1a
Neurod1
Dnai2
Dgkh
Pcdh11x
Glis1
1700006J14Rik
B3galt1
Gna15
Scn7a
Tespa1
Art3
Cxcl10
Filip1
Ushbp1
Mdga2
Parm1
Htr2a
Dpp4
Nek11
Ccl5
Shc4
Wnk4
Dnai4
Brinp3
Slc24a5
Ano4
Lars2
Pdk3
Abi3bp
Hpse
Sgcg
Ccl12
Pdzrn3
Parpbp
Ccl7
Ccl2
Kank4
Stab2
Slc25a21
Tgfbi
Ntng2
Ccdc180
Igfbpl1
Pcdh17
Iqcg
Kcnh8
Lrfn5
Kcnc2
Melk
Arhgap45
Ggta1
Acta2
Plekhs1
Cdhr3
Syt1
Dcdc2a
Ptprq
Ripor2
Tmtc2
Adamtsl2
Dgkb
Colec12
Mbnl3
Lmo1
Slc9a3
Meox2
Prickle1
Cd200r3
Rorb
Pdzrn4
Ska1
Armh4
Igfbp7
Fstl4
Lrrk2
Lrrn3
Slc2a13
Slc18a1
P2ry12
Csgalnact1
Cracd
Megf11
Marchf1
Prss56
Cdh8
Card11
Adamts2
Fgf1
H2-Aa
Alx1
Mag
Ttll7
Dner
Kif15
Anln
Klhl13
Fam135b
Slc6a20a
Dpp10
C1qa
C1qc
Neto2
C1qb
Ttc7
Slc39a12
Cfap221
Zic4
Frem2
Ttc29
Myom3
Cfap61
Lypd8l
Pacrg
Syn1
Zfyve28
Itih2
Man1c1
Dipk2b
Ccn3
Enpp1
Rims2
Dtl
Dlgap5
Pkd2l1
Kcnh3
Gch1
Kcnmb2
Kcnk2
Cldn11
Rgs22
Cdkn3
Kctd8
Armc3
Tecta
Ccdc33
Ckap2
Nek5
Ppp1r16b
Sh2d4b
Rtkn2
Ifi206
Cpe
Aim2
Egr2
Sirpa
Ddx60
Bank1
Inpp4b
Ccr7
Itprid1
Sh3rf3
Rmi2
Slc24a2
Dnah10
Igsf8
Cntnap5c
Kcna6
Atp13a4
Ano2
Cdon
Camk4
Rbm24
Cd84
Prdm1
Spon1
P3h2
Enpp6
Slamf7
Mical2
Glra3
Sema7a
Asic3
Galnt18
Pramel32
Satb2
Plcl1
Camp
Gmds
Ttk
Pals2
Pmepa1
Tmem255b
Car14
Rgs4
Saxo2
Akap12
Cep85l
Shoc1
Slc35f1
Dock10
Ctss
Fsd2
Dgki
Pbx3
Pkhd1l1
Trhr
Lmx1b
Ephx1
Rap1gap2
Ccdc68
Plcl2
Prc1
Bmp6
St6galnac5
Myo16
Ak5
F13a1
Nrn1
Itga9
Adgrg6
Whrn
Camk1d
Runx2
Adgrl4
Fanci
Rbpj
Nlrc4
Tgfb2
Tnfsf10
Clnk
Rftn1
Igfbp2
Marchf4
Cdh6
Ccdc81
Mreg
Neil3
Prss23
Prdm16
Cntnap2
Cntn5
Sgcz
Ncam1
Cfap70
Ajap1
Grin3a
Rcan2
Strip2
Kcne1
Ldb2
Ralyl
Exo1
Gabbr2
Arhgap29
Srrm3
Pak5
Stk32a
Ccdc40
Ifi203
Slc7a5
Ptger3
Negr1
Bub1b
Tnni3k
Cacna2d1
Gpr176
Maob
Thbs1
Wfdc5
Fmo2
Ankrd6
Odad1
Sema3d
Daam2
Dnm3
Cdk6
Pacsin1
Il7
Fam102b
Cdh18
Plekha4
Cdh12
Cfap69
Lrfn2
Tmem225
C3ar1
Aipl1
Slc26a7
Abcb1a
Bace2
Ildr2
Apobec1
Erc2
Ppp1r14c
Cyp2s1
St8sia4
Rcsd1
Kcna2
Erg
Plekhh2
Reps2
Dlk1
Osbpl10
Kcnd3
Atp1a3
Ulk4
Mgl2
Slc22a2
Igsf21
Npnt
Nrg3
Pif1
Grid1
Cyyr1
Clvs1
Car8
Adgrf1
Cftr
Ak7
Atp1b2
Shtn1
Ninj2
Cldn5
Htr2c
Ccnb1
Cacna2d4
Smpx
Piezo2
Kif14
Rbp3
Disp3
Ptchd1
L3mbtl4
Sdk2
Mbp
Gucy1a2
Klf8
Bbox1
Prima1
Rims1
Tmem273
Trpc5
Pgm5
Tmem45b
Pde3a
Plekha6
Gpr155
Slc24a4
Abca9
Gck
Abca8a
Slc16a6
Nol4
Elmod1
Rapgef5
Ncapg2
Myo3b
Dmgdh
Cmklr1
Zfand4
Lyn
Ptchd4
Isl1
Gucy2f
Itga1
Stab1
Grap2
Osbpl6
Esm1
Dlgap3
Crtac1
Frmpd3
Reln
Clspn
Cpa6
Klhl14
Nek10
Thsd7b
Asb4
Dusp15
Myo15a
Jph1
Nmnat2
Tmem108
Lgr6
Nrep
Lrrtm3
Kcna10
Greb1l
Egflam
Rasef
Gng2
Klhl6
Dnai3
Tnp2
Synpo
Ifi209
Mei4
Kcnj6
Filip1l
Hfm1
Gpr149
Zfp536
Tril
Rai2
Sorcs1
Fbxl7
Mdga1
Unc5cl
Adamts3
Rbm20
Npsr1
Col6a6
Clrn1
Mgat5b
Vmn2r2
Ncmap
Adgrd1
Ccdc141
Fmn1
Otos
Tafa2
Bmerb1
Tnip3
Rnf182
Cdc25c
Snhg11
Slc15a5
Dock5
Hs3st5
Tceal3
Tlr7
Zbtb7c
Csrnp3
Plppr4
Cnpy1
E230025N22Rik
Abca6
Scml4
D630023F18Rik
Syt16
Cfap43
Mylk4
Wdr72
Tmem232
Lingo2
Poln
Dmd
Lrrc3b
Lhfpl2
Fndc7
Cenpe
Epcam
Kcnk13
Or2y17
Mettl24
Frrs1l
Chrm2
Vwc2l
Fam216b
Pid1
Col27a1
Mms22l
Togaram2
Basp1
Slitrk6
Adra1a
4933440M02Rik
Cavin2
Gpr158
Teddm2
Chrm3
Gldn
Nxph1
E2f8
Gsg1l
Cd109
Iqub
Nme9
Pilra
Stxbp6
Ccbe1
Hs3st2
Fam178b
Gjb2
Ppm1e
Nexmif
Tafa4
Ar
Cfap58
Ticrr
Oacyl
Vwa5b2
Olfml2a
Pkd1l1
Mapk10
Fat4
A530053G22Rik
Rhoj
Ttc6
Mpeg1
Atp10d
Vat1l
Zfp474
Gpr156
Wdr27
Spsb4
Cfap65
Ofcc1
1700113H08Rik
Chst9
Cdh19
Cldn2
Gap43
Gpr15
Smgc
4931429P17Rik
Gm973
Dnah14
Flrt2
Cmya5
Fam180a
Dlk2
Gpr141b
Dlgap2
Rnf152
Adamts12
Mis18bp1
Nr1h4
D930020B18Rik
Fbxo40
Rnf150
Hs3st3a1
Ankfn1
Sned1
Trim16
Diras2
Rell1
Sox1ot
Stpg2
Kcna1
Tmem196
Ccdc187
Lmod1
Tmem72
Entpd1
Col6a3
Rnf149
Bcl11b
Frmd6
Ckap2l
Lhfp
Gli2
Mlf1
Ranbp3l
Bdnf
Igf2
Lurap1l
P2ry6
Insc
Vstm2a
Arhgap30
Cdca2
Atp13a5
Prex2
Elfn1
Ndnf
Il23r
Pcdh10
Ccr2
Ntf3
Frmd3
C5ar1
Plcxd3
Frmpd4
Lrp1b
Scn3b
Tenm2
Cox7b2
Tmem200a
Espnl
Tecrl
Adamts16
Aknad1
Cfap46
Grm5
Cyp2g1
Mmp12
Arhgap15
Tmsb4x
Ankrd55
Grem2
Agmo
Vwa3b
Adam34l
Prag1
Dscam
Synpo2
Neto1
C130071C03Rik
Lgals3
Il31ra
Septin6
Mrgprb2
Lypd6
Pcdh20
Adra1b
Kcnb1
Lrrc4c
Zfp831
Tmem150c
Trhde
Scg2
Muc15
Vwc2
Cdh20
Phospho1
Zfp366
Sgms2
Gja1
Adgb
Vtcn1
Rgs13
Sv2c
Plcb1
Msrb3
Pcdh19
Cacna1c
Samd3
Ncald
6030498E09Rik
Kif18b
Kctd16
Fhad1
Kcnj16
Siglech
Wdfy4
Usp29
Otop1
Ttn
Iqcj
Mest
Cd209f
Rspo2
Xkr4
Slc6a7
Dock8
F730043M19Rik
Sema5b
Pld4
Hbb-y
Gpr17
Ostn
Hbb-bs
Cemip
Actn2
Nrros
Bmpr1b
Pmp2
Gm8174
Epha3
Robo2
St6galnac3
Adarb2
Cpne8
Lrrtm4
Pcdh15
Kcnt2
Map1b
Klrc2
A630001G21Rik
Reep1
Nrk
Dnah6
Prkcb
Arhgef15
Glis3
Gas1
Cyp2f2
Ube2ql1
Creb5
Cntn2
Sv2b
Gpr141
Fank1
E330013P04Rik
Spag16
Cd200l1
Prx
Arhgap20
Aldh1a1
Adamts18
Adamts19
Hs6st3
Tnfaip6
Kcnip1
Tll1
Ppfia2
Mepe
Kirrel3os
Shisa6
Pde5a
Mill1
Iigp1
Spock3
Cthrc1
Alkal2
Tprkb
Lce3a
Cadps
Tmem120b
Vsnl1
Kcnn2
Gm14461
Ugt1a6a
Adam12
Gm4876
Pla2r1
Slc8a1
Emcn
Ap1s3
Ankrd24
Phactr1
Abca15
4930578G10Rik
Arhgef33
Afp
Kcnmb4
Lmntd1
Nyap2
Agtr1b
Lrtm2
Gabrg3
Gm15155
Pld5
Ntrk2
Them7
Fut9
Map6
Nell1
Pcdh9
Maf
Alk
Ano5
Epha6
Unc80
Hba-x
Dach1
Gpc3
Nkain3
Myh8
Abcd2
Clca3a1
S100a8
Otulinl
S100a9
Grik2
B4galt6
Car10
Cndp1
Col8a2
Lrguk
Kcnq3
Synpr
Myh1
Slit3
Adgrf5
Cngb3
Defb21
Ptprn2
Mpz
Drc3
Fry
Dnah9
Grm7
Hmga2
Or12j4
Gjc3
Ces1d
Myh4
Skap1
Slc35f3
Ero1b
Scn3a
Musk
Arhgap24
Ryr3
Rit2
Phex
Ece1
Gnai1
A830018L16Rik
Tmem178b
Sh3rf2
Lepr
Megf6
Ankrd29
Cfap299
Cacnb2
Nfam1
Adamts17
Chsy3
Sez6l
Kcnh1
Espl1
Syt17
Cxcl2
Anks1b
Gda
Samd12
Kcnt1
Col13a1
Col25a1
Ccdc192
Grin2a
Kcp
Frem1
Rad51b
Ntrk3
Pde1a
Skap2
Tafa1
Il1rapl2
Ddn
Eda
Slc14a1
Ptk2b
Fcgr3
Calcrl
Syn3
Stfa2l1
Kcnh7
Hydin
Ntng1
Unc5c
Hspa2
Ntm
Kif13b
Tmem26
Atp8b4
Kif27
Nrg2
Sp7
Tmc2
Caln1
Pantr1
Sycp2
Samd5
Dcc
Fam78b
H2-Eb1
Ctnna3
Kcnd2
Trim55
Csmd1
Slc4a4
Galnt13
Mkx
Vmn1r222
Cdh3
Mcpt4
Lsamp
Cyp4f39
Blnk
Slc38a11
Agbl4
Dnai1
Obscn
C1qtnf7
Dpp6
Ksr2
Pclo
Akap6
Kalrn
Odad2
Ttr
Rufy4
BC048679
Myt1l
Cd200r4
Scfd2
Unc13c
Hs6st2
Vmn2r7
Erbb4
Tnfaip8
Lhfpl5
Opcml
Usp17lb
Otof
4932435O22Rik
Dgkk
Ap3b2
Ncr1
Syt9
Cnr2
Gm49339
Shisal1
Stat4
Kdr
Cped1
Nrg1
Msln
Sox7
Ctnna2
Gm10125
Kcnma1
Grm4
Syt10
Luzp2
Lrrc43
Cyp26b1
Ddo
Sorcs3
Plppr1
Lrmda
Arhgap22
Sema3e
Col23a1
Egfem1
Unc5d
Jakmip1
Crb1
Mapk15
Tnfrsf11b
Or5b3
Slc22a8
Lin28b
Dusp29
Nlgn1
Srrm4
Slco1a5
Gm5089
Ipcef1
Fbln2
Cadm2
Or11a4
Rab44
Prol1
Rab3ip
Spata6l
Paqr9
Ccdc146
Cntn4
Aox3
Zpld1
Hhip
Scn1a
mt-Rnr1
mt-Rnr2
mt-Nd1
mt-Nd2
mt-Co1
mt-Nd4
mt-Nd5
mt-Cytb
Selenop
Gm23628
n-R5s88
Snord104
Cd209b
Dhrs3
Cldn19
Cacng3
Gpr139
Chrna10
Nrxn3
Ankdd1a
Zbtb16
Fxyd6
Tnfsf18
Hmcn1
Myo1h
Cntnap5b
Col4a4
Nipal1
Lgi1
Klra7
Nms
Pi15
Nnat
Bpifb3
Grxcr1
Tnfrsf13c
Mei1
A230006K03Rik
Col8a1
Il2rb
Efcc1
Cma2
D430041D05Rik
Cep152
Gmnc
Efcab1
Gm10248
Ptprz1
Col28a1
Or4c12
Slc7a14
Dytn
Adgrv1
Prdm6
Lyz2
Tspear
Ube2u
Ahnak
Slc47a2
Insyn2b
Hba-a2
Hba-a1
Fam149a
Rnf213
Gm10287
Plpp4
Prss36
Nlrp1b
Adamtsl3
Tmem132b
Mrgprb1
Lactbl1
Cntnap5a
Zfp804a
Trabd2b
Skint3
Gad1
Rasgrp3
Armc2
Hpcal1
Grid2
Cfap44
Rnls
Rtl4
Cdr1os
Apcdd1
Fndc1
Ccnf
Hhla1
Gm525
Spef2
Nup62cl
Gm5127
Cfap47
Drc1
4930567H17Rik
Gm14636
H2-Ab1
Ifi204
Ifi207
Ifi213
Dok6
Spink13
Gm4951
Prr16
Grxcr2
Catip
Gm829
Gvin3
Mob3b
Hbb-bt
Gucy2d
Fbxw18
Mrgprx2
Nlrc5
Adh1
Gm10649
Cib3
Peak1
Bglap
Bglap2
Bglap3
Fat3
Lekr1
Sox2
Sirpb1c
Syndig1
Ism1
Bhmt
Gm10754
Slc4a11
Gas2l3
Morrbid
Pdzd7
Hpse2
Sptbn5
Ano3
Fibin
Dcdc5
Or4a70
Ccdc162
Heg1
Cerkl
Carns1
Scn9a
Igll1
Or12k8
4930594M22Rik
Rsph10b
Ly6a
Mog
Trbc1
Igkc
Ighg2b
Ighm
Trgv5
Trgc1
Trdv4
Iglc2
Gm22779
F630028O10Rik
Erich3
AI593442
Cfap74
Hs3st4
Fyb2
Marchf10
Slfn1
Rad54b
Gm11033
Ly6c1
Col22a1
Vinac1
Slc8a3
Nalf1
Cd209g
Ccr5
Slco1a6
Hoxd3
Klrb1b
Atg4a
